date,region,product,units_sold,revenue,cost
2026-06-01,North,Laptop,12,600000,450000
2026-06-01,South,Mobile,25,375000,275000
2026-06-02,North,Tablet,8,160000,110000
2026-06-02,East,Laptop,15,750000,560000
2026-06-03,West,Mobile,30,450000,330000
2026-06-03,South,Tablet,10,200000,140000
2026-06-04,North,Mobile,18,270000,198000
2026-06-04,East,Tablet,5,100000,70000
2026-06-05,West,Laptop,9,450000,335000
2026-06-05,South,Laptop,14,700000,520000
2026-06-06,North,Tablet,11,220000,150000
2026-06-06,East,Mobile,22,330000,240000
2026-06-07,West,Tablet,7,140000,95000
2026-06-07,South,Mobile,28,420000,305000
2026-06-08,North,Laptop,16,800000,600000
2026-06-08,East,Laptop,10,500000,375000
2026-06-09,West,Mobile,20,300000,220000
2026-06-09,South,Tablet,12,240000,165000
2026-06-10,North,Mobile,24,360000,265000
2026-06-10,East,Tablet,6,120000,85000
